Distance,Data
30,(1.680908e-05-8.138829e-06j)
30,(3.2273426e-06-2.135837e-05j)
30,(-1.6119158e-05-1.5608837e-05j)
30,(-1.5864087e-05+1.771028e-05j)
30,(2.7483058e-05-3.459772e-06j)
30,(2.730931e-07-2.1565398e-05j)
30,(-2.6408334e-05-2.0483069e-05j)
30,(-2.0199514e-05+1.3812163e-05j)
32,(3.6186043e-07-1.0600554e-05j)
32,(-3.4287244e-05-4.426573e-05j)
32,(5.802657e-06-6.3914416e-07j)
32,(-1.4032103e-05+2.5745496e-06j)
32,(1.3330239e-06+7.6690753e-07j)
32,(5.501782e-06-1.1136569e-05j)
32,(-4.2740962e-07-6.985395e-06j)
32,(-2.9603189e-06+2.354026e-06j)
32,(3.8742596e-06-8.365372e-06j)
32,(9.023815e-06-1.793912e-05j)
32,(-1.2977216e-06-5.7426364e-06j)
32,(5.820586e-06-5.7363923e-05j)
32,(-7.136636e-05-3.636632e-05j)
32,(-0.00011167926+0.00011388065j)
32,(8.2929946e-05+4.9416998e-05j)
32,(3.896226e-05-9.434271e-06j)
32,(1.414007e-05-1.547866e-05j)
32,(6.9515177e-06-5.5248197e-06j)
32,(1.4331526e-05-1.10496245e-07j)
32,(1.7433061e-06-2.514166e-05j)
32,(-1.5078882e-05-1.635966e-05j)
32,(-1.329999e-05+1.4907776e-05j)
32,(2.1539856e-05-3.436632e-06j)
32,(-7.2237935e-06-1.3507767e-05j)
32,(-1.6308384e-05-1.276882e-05j)
32,(-3.3102962e-05-5.0795807e-06j)
34,(3.1701864e-05+2.4511497e-05j)
34,(-2.3188353e-05+1.6564154e-05j)
34,(-7.62862e-06+5.578772e-07j)
34,(-3.0482626e-05-9.62959e-06j)
34,(-2.6507807e-05+4.4233024e-05j)
34,(-2.4213346e-05-3.536399e-06j)
34,(1.401732e-06+8.239225e-06j)
34,(2.8602653e-05+1.9157977e-05j)
34,(3.5167716e-06-7.1287996e-06j)
34,(9.930052e-06-1.7275723e-05j)
34,(8.252786e-06-2.1139615e-05j)
34,(1.424727e-06-3.267806e-05j)
34,(-8.2476385e-05-8.0336606e-05j)
34,(-0.000103101025+0.00015676254j)
34,(8.671088e-05+4.8199545e-05j)
34,(3.9703194e-05-1.1558176e-05j)
34,(1.3668165e-05-1.51051145e-05j)
34,(2.0236532e-06+2.1960498e-06j)
34,(2.141527e-05-9.272926e-06j)
34,(1.2173635e-06-2.435259e-05j)
34,(-1.6515554e-05-1.4578217e-05j)
34,(-7.4073896e-06+1.8655744e-05j)
34,(1.7618731e-05-6.1270684e-06j)
34,(-2.5076126e-06-1.8802351e-05j)
34,(-1.8457373e-05-7.713526e-06j)
34,(-3.5303736e-05-6.90804e-06j)
36,(1.0445196e-05+1.4607923e-05j)
36,(-1.062029e-05-4.3554087e-06j)
36,(1.37126035e-05+1.1951649e-06j)
36,(-1.49632715e-05+4.2192314e-06j)
36,(-1.0397627e-06+3.017229e-06j)
36,(7.829885e-06-1.0756682e-05j)
36,(6.002379e-06-3.7774942e-06j)
36,(3.5691875e-07+6.496697e-06j)
36,(3.9967595e-06-7.641691e-06j)
36,(1.1642919e-05-1.7996208e-05j)
36,(8.520774e-06-2.3358847e-05j)
36,(2.3493978e-06-3.68269e-05j)
36,(-8.9943154e-05-8.782703e-05j)
36,(-6.887537e-05+0.00017182894j)
36,(5.4744505e-05+4.4777877e-05j)
36,(2.6225727e-05-4.4434114e-06j)
36,(1.2587815e-05-1.660328e-05j)
36,(2.0501855e-06+1.2017827e-06j)
36,(1.8815605e-05-5.485796e-06j)
36,(3.983476e-06-2.4180692e-05j)
36,(-1.7080005e-05-1.4320208e-05j)
36,(-1.506459e-05+2.2161368e-05j)
36,(2.9900903e-05-4.7997087e-06j)
36,(-5.1430325e-06-2.2633629e-05j)
36,(-2.0181866e-05-1.2010305e-05j)
36,(-1.7605638e-05+1.1147223e-05j)
38,(1.7623709e-06+2.0282747e-05j)
38,(7.2447983e-06-1.9771578e-06j)
38,(-1.2295396e-07-1.3788875e-06j)
38,(-7.3077595e-06+2.0231635e-06j)
38,(-4.7058847e-06+1.5682572e-06j)
38,(1.0355395e-06-8.764048e-06j)
38,(1.22284e-05-3.8894345e-06j)
38,(9.350808e-07+4.6249197e-06j)
38,(2.1575313e-06-7.707823e-06j)
38,(7.752128e-06-1.50257e-05j)
38,(1.1202123e-05-2.0317404e-05j)
38,(1.1959382e-06-3.4701e-05j)
38,(-7.759893e-05-7.957344e-05j)
38,(-0.00010579157+0.00015056533j)
38,(8.87068e-05+4.1795895e-05j)
